Module Category,Feature / Requirement Title,Detailed Feature Description,Business/User Benefit,Component / Notes,Backend API (Route),Integration Status
Inventory,Retail Product Mode,"Supports a comprehensive retail product-based billing mode with selling price, MRP, margin %, and barcode support.",Designed for product-based shops such as kirana and neighbourhood retail.,Implemented in POS (InventoryPage.tsx),GET /api/products,Connected
Inventory,Product Catalog,"Maintain centralized products/items database with search, category filtering, salt compositions, and pack types.",Centralizes the items available for sale and streamlines billing workflows.,Implemented in POS (products.ts),GET /api/products,Connected
Inventory,Units of Measure,"Products can use multiple units such as Strips, Bottles, Tablets, Vials, and Loose units.",Supports different retail measurement types and loose dispensing.,Implemented in POS (medicineDetails.ts),GET /api/products,Connected
Inventory,Stock Tracking,Real-time batch-level inventory tracking across all product batches and store locations.,Provides visibility into current stock quantities and inventory levels.,Implemented in POS (InventoryDashboardPage.tsx),Pending Review,Pending
Inventory,Automatic Stock Deduction,Deducts exact item and batch quantities from stock as soon as a payment/sale is finalized.,Keeps stock counts perfectly aligned with sales without manual intervention.,Implemented in POS (posSlice.ts),Pending Review,Pending
Inventory,Low-Stock Visibility / Alerts,"Automatic low-stock identification, filter tags, and dashboard alert counters for items below reorder level.",Helps prevent stockouts and supports timely reordering.,Implemented in POS (InventoryDashboardPage.tsx),Pending Review,Pending
Inventory,Stock Activity,"Comprehensive audit log of stock movement including Purchase GRNs, Returns, and Expired Stock Disposals.",Helps understand inventory movement and maintains complete audit records.,"Implemented in POS (PurchaseGRNPage.tsx, ExpiryManagementPage.tsx)",Pending Review,Pending
Sales & Profit,Daily Sales View,"Dashboard card displaying today's gross revenue, net collection, and bill count in real time.",Provides quick daily performance visibility for store owners.,Implemented in POS (Dashboard.tsx),GET /api/reports/dashboard-stats,Connected
Sales & Profit,Profit View,"Displays gross margin %, cost of goods sold (COGS), and net profit estimations across timeframes.",Helps owners understand business performance beyond top-line revenue.,Implemented in POS (ReportsPage.tsx),GET /api/reports/sales-summary,Connected
Sales & Profit,Date-Range Reports,"Generate sales and profit reports for selected periods (Today, Yesterday, Last 7 Days, This Month, Custom).","Supports daily, weekly, monthly, and custom-period review.",Implemented in POS (ReportsPage.tsx),GET /api/reports/sales-summary,Connected
Sales & Profit,PDF Export,"Export and print clean, formatted PDF versions of sales summaries and tax reports.","Useful for business records, sharing with accountants, and offline printing.",Implemented in POS (ReportsPage.tsx),GET /api/reports/sales-summary,Connected
Offline,Offline Billing,Billing works without active Wi-Fi/mobile data; all sales transactions process locally.,Allows sales to continue smoothly during connectivity interruptions.,Implemented in POS (posSlice.ts),Redux / LocalStorage,Connected (No Backend needed)
Offline,Local Data Storage,"Billing, product, cart, transactions, and settings data remain stored securely on the local client state.",Reduces dependence on continuous cloud connectivity and enables instant loading.,Implemented in POS (Local State / Client Storage),Redux / LocalStorage,Connected (No Backend needed)
Offline,Offline Inventory & Reports,"All stock adjustments, GRN entries, and reporting views operate completely offline.",Useful in low-connectivity environments with uninterrupted back-office operations.,Implemented in POS (Local Architecture),Redux / LocalStorage,Connected (No Backend needed)
Security & Privacy,4-Digit Security PIN,"4-Digit security PIN protection implemented for manager overrides, disposal approvals, and Schedule X dispensing.",Adds basic protection against unauthorized actions and sensitive drug dispensing.,"Implemented in POS (ComplianceModal.tsx, SettingsPage.tsx)",POST /api/auth/verify-manager-pin,Connected
Security & Privacy,Data Privacy & Local Storage,Client-side local architecture ensures zero unauthorized third-party data sharing.,Provides a privacy-oriented positioning for sensitive retail and patient data.,Implemented in POS (Client-Side Architecture),Pending Review,Pending
Platforms,Windows,Desktop application and responsive web support optimized for Windows OS.,Suitable for standard PC-based shop and pharmacy billing counters.,Implemented in POS (Responsive Web / Desktop),Pending Review,Pending
Platforms,macOS,Desktop application and browser support running smoothly on Apple Mac workstations.,Supports Apple desktop users with complete feature parity.,Implemented in POS (macOS Browser / App),Pending Review,Pending
Platforms,Web Application,Full modern browser-based Web Application platform built with Vite + React 19 + Redux Toolkit + TailwindCSS.,Enables ultra-fast deployment and cross-device accessibility without bulky installs.,Implemented in POS (Vite / React 19 Stack),Pending Review,Pending
Integrations,WhatsApp,Invoice links and formatted order summaries can be shared directly through WhatsApp.,Direct customer communication and digital receipt delivery without SMS costs.,Implemented in POS (whatsappShare.ts),Local UI / Print API,Connected (No Backend needed)
Integrations,Thermal Printers,Supports thermal invoice printing via standard browser print dialog and media queries.,Enables physical receipt workflows on 58mm and 80mm thermal rolls.,Implemented in POS (ReceiptPrintView.tsx),Pending Review,Pending
Business Types,Kirana / General Stores,Designed for small Indian retail stores and kirana businesses with barcode scanning and rapid checkout.,"Matches high-volume, product-based local retail counter billing.","Implemented in POS (ProductSearch.tsx, CartTable.tsx)",Pending Review,Pending
Business Types,Neighbourhood Retail,Designed for neighbourhood retail businesses needing quick counter sales and customer management.,Targets micro and small local retailers with streamlined point-of-sale flows.,Implemented in POS (POS Layout),Pending Review,Pending
Business Types,Sweet Shops,"Supports loose item quantity selection, weight units, quick discounts, and fast checkout.",Fits counter sales with retail and loose-quantity food products.,"Implemented in POS (medicineDetails.ts, CartTable.tsx)",Pending Review,Pending
Limitations / Integrations,Payment Gateway / Dynamic UPI QR Integration,Generates dynamic Razorpay UPI QR codes for customer scanning on counter display or payment modal.,Enables instant contactless UPI digital payment collection directly at the counter.,Implemented in POS (PaymentModal.tsx),Pending Review,Pending
Compliance & Clinical,Schedule H / H1 / X Compliance Management,"Mandatory doctor details recording, patient prescription tracking, and 4-digit PIN verification for restricted drugs.",Enforces 100% legal compliance under Drug & Cosmetics Act for pharmacy operations.,"Implemented in POS (ComplianceModal.tsx, posSlice.ts)",Pending Review,Pending
Clinical Intelligence,Drug Interaction Check Engine,Automated real-time cart engine that checks and warns against severe or dangerous drug-to-drug interactions.,Prevents clinical dispensing errors and elevates customer healthcare safety.,"Implemented in POS (drugInteractions.ts, CartTable.tsx)",POST /api/billing/check-drug-interactions,Created not connected
Smart Retail,Smart Substitute Medicine Engine,Recommends generic salts and in-stock alternative brand substitutes when requested product is out of stock.,Prevents lost sales due to stockouts and provides affordable alternatives to customers.,"Implemented in POS (substituteEngine.ts, ProductSearch.tsx)",POST /api/billing/check-substitutes,Created not connected
Inventory Advanced,FEFO Batch Selection (First Expiry First Out),Automated batch routing during cart addition that automatically picks the earliest expiring batch.,Minimizes expired inventory losses and streamlines pharmacy batch rotation.,"Implemented in POS (posSlice.ts, batchSelector.ts)",Local Redux Logic (No backend needed),Connected
Inventory Advanced,Expiry Dump Clearance & Formal Disposal Log,"Dedicated expiry quarantine workflow, clearance discounting, and formal PIN-approved disposal audit log.",Maintains accurate audited stock records and recovers value before stock expiry.,Implemented in POS (ExpiryManagementPage.tsx),POST /api/disposal,Connected
Prescription Auditing,Prescription Upload & Doctor Details Recording,Captures prescribing doctor registration details and supports digital prescription image attachment.,Mandatory for regulated drug dispensing and maintains digital customer prescription history.,Implemented in POS (PrescriptionModal.tsx),POST /api/prescriptions/upload,Not Created
Procurement & SCM,Supplier & Vendor Directory,"Complete vendor directory tracking supplier contact details, pending credit balances, GSTIN, and lead times.","Simplifies stock procurement, purchase order reconciliation, and accounts payable tracking.",Implemented in POS (SupplierDirectoryPage.tsx),Pending Review,Pending
Billing & Invoicing,Bill / Invoice Routing,Route emergency medicine bills for quick delivery via special pharmacist.,,EmergencyDeliveryPage.tsx,Pending Review,Pending
Store & Staff Ops,Pharmacist Allocation Support,Free/available pharmacists can support filling prescriptions for other busy stations.,,AssignBillModal.tsx,PATCH /api/billing/held-bills/:id/assign,Not Created
Store & Staff Ops,Pharmacy Work Clarity,Clarify active vs background pharmacy work (e.g. emergency snake bite handling).,,TabBar.tsx,Local UI,Connected
Fulfillment & Delivery,Emergency Medicine Delivery,"Process rapid emergency medicine dispatches (e.g., snake bite cases).",,EmergencyDeliveryPage.tsx,"POST /api/delivery-orders, GET /api/delivery-orders",Not Created
Billing & Invoicing,Tablet Strip Size Billing,"Bill tablets accurately by strip size, overall count, customer name, and phone number.",,CartTable.tsx,Pending Review,Pending
Fulfillment & Delivery,Online Delivery Dashboard,"Secondary dashboard tracking online, home delivery, delayed orders, and pharmacist assignment.",,OnlineDeliveryPage.tsx,"POST /api/delivery-orders, GET /api/delivery-orders",Not Created
Fulfillment & Delivery,Delivery Mode & Verification,"Track pickup vs delivery timing, mode, and verification status (wait up to 24 hours).",,OnlineDeliveryPage.tsx,Pending Review,Pending
Billing & Invoicing,Invoice Actions Controls,"Action buttons on billing page: Clear, Previous, Save, and Record Invoice.",,CartSummary.tsx,Local Redux,Connected
Billing & Invoicing,Auto Pay / Card Payment,Auto-pay setup for Credit/Debit cards with categorization for big bills vs small bills.,,PaymentModal.tsx,POST /api/payments/razorpay-webhook,Not Created
CRM & Loyalty,Customer Info Capture,"Capture customer phone number, email ID, and preferred doctor/family details.",,PatientsPage.tsx,POST /api/patients,Connected
Billing & Invoicing,Substitute Discount Display,Calculate and display total savings on invoice line items when generic substitutes are chosen.,,SmartSubstitutionModal.tsx,Pending Review,Pending
Clinical & AI Insights,Substitute Ranking & Filtering,"Rank substitutes based on cost-effective/affordable, near expiry stock, high quality brand, and pharmacy recommended safety.",,SmartSubstitutionModal.tsx,POST /api/billing/check-substitutes,Created not connected
Inventory & Expiry,Expiry Days Filter,"Filter inventory nearing expiry (<10 days left, 3 days left, 10 days left) for billing priority.",,ExpiryManagementPage.tsx,GET /api/products/expiry/alerts,Connected
Billing & Invoicing,Strip / Loose Tablet Billing,Dynamically update inventory and invoice calculations when cutting tablet strips.,,CartTable.tsx,Local Redux Logic,Connected
Inventory & Expiry,Batch Auto-Selection (FEFO),"Auto-select near-expiry batch numbers first with color-coded alerts (Red: <22 days, Amber, Green).",,fefoHelper.ts,Pending Review,Pending
Inventory & Expiry,Near Expiry Discount/Gifting,Apply discount (Rs 5-10) or gift add-on for items nearing expiry at checkout.,,ProductSearch.tsx,Local Redux Logic,Connected
Inventory & Expiry,Clearance & Dump Stock Dashboard,Identify and notify dump stock (>30 days on shelf) for inventory clearance dispatch.,,InventoryDashboardPage.tsx,GET /api/reports/dead-stock,Not Created
Procurement & Vendor,Supplier Price & Rebate Comparison,"Compare suppliers/wholesalers on discounts, schemes, rebates, and margins to liquidate stock.",,SuppliersPage.tsx,GET /api/suppliers,Connected
Procurement & Vendor,Supplier Payment Logs,"Track cash vs credit bills, repayment due dates, and payment logs (10-15 day windows).",,SuppliersPage.tsx,GET /api/suppliers,Connected
Procurement & Vendor,Procurement Intelligence,"Smart procurement alerts on combo offers, distributor deals, and feature-equivalent substitutes.",,SuppliersPage.tsx,GET /api/suppliers,Connected
Procurement & Vendor,Advance Order Placement,Enable pharmacists to place advance replenishment orders directly with distributors.,,SuppliersPage.tsx,GET /api/suppliers,Connected
Inventory & Expiry,Return & Refund Tracking,Handle returns with low price return policy (~15%) and track inventory credit.,,ReturnsPage.tsx,"POST /api/returns, GET /api/invoices/:id",Connected
Inventory & Expiry,Restocking Returned Medicines,"Directly re-add returned, unexpired medicines back to active display shelves/stock.",,ReturnsPage.tsx,"POST /api/grn, GET /api/grn",Connected
CRM & Loyalty,Patient Refill Automation,"Auto-prompt refills for chronic conditions (BP, Diabetes) based on past order history.",,ChronicRefillModal.tsx,GET /api/patients/:id/chronic-medicines,Not Created
Billing & Invoicing,Prescription Upload to Billing,Upload prescription images/docs directly into the active billing workflow.,,PrescriptionUploadModal.tsx,POST /api/prescriptions/upload,Not Created
Billing & Invoicing,Reorder Previously Ordered Tab,Quick-add tab for previously ordered medicines during repeat customer checkout.,,CartSummary.tsx,Local AI / Redux Logic,Connected
Clinical & AI Insights,Pharmacist Recommendations Tagging,"Tag recommendations source (Insurance, Doctor, Lab, Pharmacist).",,PatientsPage.tsx,Local AI / Redux Logic,Connected
CRM & Loyalty,Health Insights & Care Plans,Generate customer health insights and assign personalized care plans.,,WellnessBrochureModal.tsx,GET /api/wellness/plans,Not Created
CRM & Loyalty,Health & Wellness Plan Integration,Attach health & wellness brochures / digital plans to customer accounts.,,WellnessBrochureModal.tsx,Pending Review,Pending
CRM & Loyalty,Age-Based Recommendation & Coupons,Pharmacist recommendations and coupon issuance based on patient age.,,CartSummary.tsx,Local AI / Redux Logic,Connected
Fulfillment & Delivery,Store-to-Store Pickup Routing,Route inventory from neighboring stores for customer pickup if item is out of stock.,,MultiStoreModal.tsx,"GET /api/stores, POST /api/stores/borrow-stock",Not Created
Fulfillment & Delivery,Store Network Chatbot,Inter-store chatbot connecting pharmacists across branches to locate inventory.,,InterStoreChatbotModal.tsx,Pending Review,Pending
Inventory & Expiry,Out of Stock Branch Redirect,Auto-recommend neighboring store branches when local stock is exhausted.,,MultiStoreModal.tsx,"GET /api/stores, POST /api/stores/borrow-stock",Not Created
Procurement & Vendor,Inter-Pharmacy Price & Qty Query,Inquire price and quantity availability across partner pharmacies.,,MultiStoreModal.tsx,GET /api/stores,Not Created
Inventory & Expiry,Borrowed Medicine Tracking,Track borrowed/lent medicines from wholesale or godown with display adjustment.,,MultiStoreModal.tsx & posSlice.ts,"GET /api/stores, POST /api/stores/borrow-stock",Not Created
Billing & Invoicing,Substitute UI & Savings Badge,"Show substitute options, discount amount, and 'Best Seller' tags on billing screen.",,SmartSubstitutionModal.tsx,POST /api/billing/check-substitutes,Created not connected
Billing & Invoicing,One-Click Substitute Swap,'Substitute with this' button to instantly swap item on active invoice.,,SmartSubstitutionModal.tsx,Pending Review,Pending
Billing & Invoicing,Loose Tablet Billing Unit Calculation,Accurately compute fractional pricing when adding loose tablets into billing page.,,CartTable.tsx,Local Redux Logic,Connected
Inventory & Expiry,Low Stock Reorder Trigger,Automated low stock trigger (heavy/optimal threshold) creating auto-orders.,,InventoryPage.tsx,GET /api/products/stock/low,Connected
Inventory & Expiry,Low Stock Dashboard Alert,Dashboard display of low stock items with one-click reorder recommendation.,,InventoryDashboardPage.tsx,GET /api/products/stock/low,Connected
Clinical & AI Insights,Expired Stock Prescription Review,View prescription history for expired/near-expiry stock and contact doctor.,,ExpiryManagementPage.tsx,GET /api/prescriptions,Not Created
Inventory & Expiry,Distributor Expiry Returns,Process distributor returns for near-expiry and expired stock.,,ReturnsPage.tsx,POST /api/returns,Connected
Store & Staff Ops,RAAC / Robotic Selection,Integration with automated/robotic drug selection systems (RAAC).,,Pending Hardware Integration (Requires API hardware driver integration with automated robotic dispensing machines - RAAC),Hardware API (TCP/IP),Not Created
Clinical & AI Insights,Profit Maker Margin Maximizer,"Highlight higher-margin alternative brands (e.g. Dettol, Bandages) to boost profit.",,SmartSubstitutionModal.tsx,Local AI / Redux Logic,Connected
Clinical & AI Insights,Sales Insights Pitch Guidance,Provide key messages and overlapping screens to help pharmacists convince customers.,,CartSummary.tsx,Local AI / Redux Logic,Connected
Clinical & AI Insights,Combo Recommendation Popup,Suggest complementary add-on products (Combos) during billing.,,CartSummary.tsx,Local AI / Redux Logic,Connected
Billing & Invoicing,Discount & Value-Added Product Prompts,Prompt pharmacists with desirable value-added items at checkout.,,CartSummary.tsx,Local AI / Redux Logic,Connected
CRM & Loyalty,Customer Voice Record & Discussion Notes,Record text/voice notes during customer discussion for consultation logging.,,Pending Audio Recording Module (Requires counter microphone audio recorder MediaRecorder API & consultation note storage),MediaRecorder API,Not Created
Clinical & AI Insights,Sentiment Analysis Recommendation,Dynamic product suggestions based on customer sentiment and talk analysis.,,Pending Voice NLP Model Integration (Requires real-time Speech-to-Text NLP sentiment model integration during billing),Voice NLP API,Not Created
Clinical & AI Insights,Patient Instruction Leaflet (PIL) & Voice Clips,"Provide dosage instructions, voice audio clips, and multi-language PIL info.",,Pending Voice Clips Audio Player (Requires multi-language audio player clips & downloadable PIL PDF document repository),PDF Delivery API,Not Created
Clinical & AI Insights,Safety & Profit Balance Indicator,Dashboard indicator balancing clinical safety and profit margin optimization.,,Dashboard.tsx,GET /api/reports/dashboard-stats,Connected
Clinical & AI Insights,Substitute Success Rate Intelligence,Track daily acceptance rate of generic/substitute suggestions by store.,,ReportsPage.tsx,GET /api/reports/substitute-success,Not Created
Store & Staff Ops,Billing Waiting Time Analytics,"Track total billing duration (Entry Time vs Exit Time, Delivery Time) on dashboard.",,Dashboard.tsx,GET /api/reports/dashboard-stats,Connected
CRM & Loyalty,Customer Behavior & Quantity Analysis,"Analyze customer purchase history patterns (e.g., 10 vs 30 tablets preference).",,PatientsPage.tsx,GET /api/patients/:id/insights,Not Created
CRM & Loyalty,Special Care & Chronic Patient Tags,"Tag doctor/lab referrals, chronic patients, acute vs regular needs, item counts.",,PatientsPage.tsx,GET /api/patients/:id/insights,Not Created
Store & Staff Ops,Senior Pharmacist Overrides,Special permissions allowing senior pharmacists to handle regular/VIP customer overrides.,,ComplianceModal.tsx,POST /api/auth/verify-manager-pin,Connected
CRM & Loyalty,Gender & Maternity Care Customization,"Customize recommended care packages based on gender (M/F), specializations, or maternity.",,WellnessBrochureModal.tsx,GET /api/wellness/plans,Not Created
AI & Automation,AI Speech Billing,"Allow counter clerks to speak product names and quantities (e.g., 'Add 2 strips of Paracetamol 650'), auto-adding items to cart via Web Speech API.",,,TBD (Future Roadmap),Future Roadmap
AI & Automation,AI Shop Assistant,"Conversational voice/text assistant on dashboard answering sales, stock, profit, and supplier dues queries.",,,TBD (Future Roadmap),Future Roadmap
AI & Automation,AI Dashboard Insights,Automated AI recommendations on main dashboard categorizing stock velocity and suggesting reorders or dump clearance discounts.,,,TBD (Future Roadmap),Future Roadmap
AI & Automation,AI / Auto Udhar Call & Reminders,Automated WhatsApp / SMS payment due reminders for credit customers with payment link attachments.,,,TBD (Future Roadmap),Future Roadmap
Credit / Udhar,Udhar Khata (Customer Ledger),"Digital credit ledger module for retail customers tracking total credit limit, total credit outstanding, and payment terms.",,,TBD (Future Roadmap),Future Roadmap
Credit / Udhar,Partial Payments for Udhar,"Interface to record partial cash/UPI settlements against a customer's outstanding balance, updating remaining debt in real-time.",,,TBD (Future Roadmap),Future Roadmap
Credit / Udhar,Customer Dues & Balance Tracking,"Real-time outstanding balance summary per customer with overdue alerts, credit limits, and credit filtering.",,,TBD (Future Roadmap),Future Roadmap
Credit / Udhar,Automated WhatsApp Due Reminders,One-click WhatsApp link generation containing outstanding balance summary and UPI payment links sent to credit customers.,,,TBD (Future Roadmap),Future Roadmap
Inventory,Fast-Moving Stock Analysis,Analytics report ranking items with highest sales velocity over 7/30 days to optimize reorder frequency.,,,TBD (Future Roadmap),Future Roadmap
Inventory,Slow-Moving Stock Analysis,"Report listing items with low sales velocity relative to stock quantity, suggesting promotional discounts.",,,TBD (Future Roadmap),Future Roadmap
Inventory,Dead Stock Analysis,Report identifying products with zero sales for 60+ or 90+ days to prevent locked working capital.,,,TBD (Future Roadmap),Future Roadmap
Billing & Invoicing,Voice Billing,Direct speech-to-cart addition during active counter billing sessions.,,,TBD (Future Roadmap),Future Roadmap
Billing & Invoicing,Service Charge Support,"Configurable service fee, delivery charge, or handling fee field in cart summary and invoice calculations.",,,TBD (Future Roadmap),Future Roadmap
Billing & Integrations,SMS Bill Sharing,SMS link button (sms:?body=...) or SMS gateway API integration for delivering invoices.,,,TBD (Future Roadmap),Future Roadmap
GST & Tax,GSTR-3B Style Reporting,Tax summary report comparing outward GST tax liability against inward Input Tax Credit (ITC) from purchase GRNs.,,,TBD (Future Roadmap),Future Roadmap
Sales & Profit,True Excel (.xlsx) Export,Export reports and inventory tables directly into native formatted .xlsx files using the xlsx library.,,,TBD (Future Roadmap),Future Roadmap
Integrations,Public Developer API,"REST API endpoints for external integrations (e.g., e-commerce sync or external accounting software).",,,TBD (Future Roadmap),Future Roadmap
Multi-Store,Multi-Store Management,Manage multiple pharmacy/retail outlets under a single account with aggregated dashboards.,,,TBD (Future Roadmap),Future Roadmap
Multi-Store,Per-Shop Data Isolation,"Separate sales, inventory, batch numbers, and ledger databases for each outlet.",,,TBD (Future Roadmap),Future Roadmap
Multi-Store,One-Tap Shop Switching,Store switcher dropdown in top Navbar to switch active branch context seamlessly.,,,TBD (Future Roadmap),Future Roadmap
Sync & Backup,Google Drive Sync & Backup,Automatic or manual encrypted JSON database backup to Google Drive / Gmail.,,,TBD (Future Roadmap),Future Roadmap
Sync & Backup,Android-to-Desktop Data Transfer,Seamless data migration utility between mobile and desktop instances.,,,TBD (Future Roadmap),Future Roadmap
Languages,22+ Indian Languages UI,"Multilingual i18n support (Hindi, Telugu, Tamil, Marathi, Kannada, etc.) across the app interface.",,,TBD (Future Roadmap),Future Roadmap
Languages,Multilingual Voice Commands,Voice recognition supporting regional Indian languages for product lookup and bill entries.,,,TBD (Future Roadmap),Future Roadmap
Platforms,Native Android App (APK / PWA),Package Web App as a Native Android APK (Capacitor/Cordova) or Progressive Web App (PWA).,,,TBD (Future Roadmap),Future Roadmap
Business Types,Restaurant / Café Mode,"Dedicated restaurant menu mode, table reservation, and food order billing alongside retail mode.",,,TBD (Future Roadmap),Future Roadmap
Support & Docs,Public Help & FAQ Center,"In-app searchable help documentation, feature tours, and user guide.",,,TBD (Future Roadmap),Future Roadmap
Business Types,Multi-Outlet Business Management,Multi-store business capability suited to owners with multiple shop locations.,,,TBD (Future Roadmap),Future Roadmap
Security & Governance,Granular Role-Based Permissions,Multi-user role permissions (Cashier vs Store Manager vs Accountant vs Owner).,,,TBD (Future Roadmap),Future Roadmap
Accounting,Advanced Accounting / Full ERP Sync,Tally / Marg / ERP sync export capability for ledger and invoice data.,,,TBD (Future Roadmap),Future Roadmap
Analytics,Advanced Customer Analytics & Churn,"Customer purchase frequency, cohort analysis, and churn risk detection.",,,TBD (Future Roadmap),Future Roadmap
Billing & Invoicing,Custom Discount Campaigns,"Scheduled promotional rules (e.g., Buy 1 Get 1, Happy Hour 5% off, Festival discounts).",,,TBD (Future Roadmap),Future Roadmap
Supplier Management,Supplier Credit Due Reminders,WhatsApp / SMS alerts for upcoming supplier invoice payment due dates.,,,TBD (Future Roadmap),Future Roadmap
Security & Governance,Audit Log & Activity History,"Detailed audit log of every price edit, deletion, GRN modification, or discount override.",,,TBD (Future Roadmap),Future Roadmap
Data Safety,Auto-Database Backup,Scheduled automatic local daily backup of IndexedDB / Redux store state to downloadable JSON.,,,TBD (Future Roadmap),Future Roadmap
